name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.create_group\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""create_group"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_create_group_46c1c5c44c8cf25ae736eaab9dba975a
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.join_group_by_invite\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""join_group_by_invite"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_join_group_by_invite_f175694906a2c1dac09fdb78d99da1fa
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.leave_group\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""leave_group"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_leave_group_c67194c56d8464ec94124397957cdb38
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_my_groups\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_my_groups"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_my_groups_948560235fe56a8220ff117e717e821f
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_group_members\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_group_members"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_group_members_eb2c7c2dccdfe3f9e7bc4a8bca88b138
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_action_types\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_action_types"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_action_types_fcdf1107373d6938359f8f17c0eae9a7
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.add_tribunal_category\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""add_tribunal_category"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_add_tribunal_category_811df58d55698a597693d4f866588fb9
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.delete_tribunal_category\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""delete_tribunal_category"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_delete_tribunal_category_ef6120e2e360abdc66c2b1622dccfa87
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_tribunal_categories\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_tribunal_categories"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_tribunal_categories_7b9335bf5df688553a0a2cddc76ac9c7
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_all_tribunal_results\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_all_tribunal_results"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_all_tribunal_results_cfe576ffcb44014fec749bf76d5b74bb
